p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
elu,16,han,0.0,32,1.0580841848106728e-05,9,2,10,1e-05,0.8648148148148148,0.5,129.56842041015625,61,5987.407044887543,7179.217280864716
tanh,16,hgt,0.2,16,0.00022371174594863202,2,2,3,0.0001,0.6537037037037037,0.6264263295297879,1.2457241415977478,63,6400.325842142105,7410.636343002319
leakyrelu,16,hgt,0.0,128,0.00017505823367077478,2,2,1,0.0,0.6240740740740741,0.6208530110586372,1.2939790487289429,66,6684.90353178978,7553.80336356163
tanh,16,hgt,0.1,32,1.0181667091102965e-05,5,2,1,5e-05,0.45740740740740743,0.5533865243026018,1.3507828116416931,67,6764.663398742676,7681.396271467209
sigmoid,16,han,0.1,16,0.0007535298331086407,10,2,10,5e-05,0.45740740740740743,0.5533865243026018,1.3697685599327087,64,6636.160714149475,7824.921400785446
tanh,16,han,0.4,16,0.0001315839539224687,10,1,10,0.0,0.8648148148148148,0.5,1.387710690498352,65,6672.323301553726,7842.170565605164
tanh,16,hgt,0.0,16,1.2903127432324074e-05,9,4,10,1e-05,0.6537037037037037,0.6264263295297879,1.2599157094955444,68,6848.249238729477,8139.825318336487
relu,16,hgt,0.0,128,0.00012613053491175122,10,2,9,0.0001,0.6537037037037037,0.6264263295297879,1.2526845335960388,69,6955.3310515880585,8159.292639255524
elu,16,hgt,0.0,64,3.6648519631545006e-05,10,4,6,1e-05,0.6537037037037037,0.6264263295297879,1.2444083094596863,70,7180.304859876633,8271.69863152504
tanh,128,hgt,0.0,16,5.0203901310000315e-05,10,2,10,0.0,0.6537037037037037,0.6264263295297879,0.6699622869491577,75,7843.370533943176,8377.251993656158
leakyrelu,16,han,0.0,16,2.6656218991863533e-05,2,2,10,1e-05,0.13518518518518519,0.5,407.4019775390625,71,7411.960350513458,8579.014280796051
tanh,16,hgt,0.1,32,1.2775629903465375e-05,10,4,8,0.0,0.6240740740740741,0.6208530110586372,1.2275662422180176,72,7555.174884557724,8709.417764663696
elu,256,han,0.3,16,0.00034837267822982403,8,1,9,0.0001,0.45740740740740743,0.5533865243026018,0.68740314245224,76,8140.904760122299,8718.49390411377
tanh,16,hgt,0.0,256,1.2950397777741025e-05,8,2,2,1e-05,0.6240740740740741,0.6208530110586372,1.2563751935958862,74,7826.434937238693,8791.77191734314
tanh,64,han,0.0,64,2.2174140860417397e-05,3,2,10,0.0,0.8648148148148148,0.5,20.822460174560547,78,8273.02337551117,8884.550677776337
tanh,16,hgt,0.1,128,1.1772708607931474e-05,5,1,9,0.0001,0.3648148148148148,0.5865331025783931,1.2970960140228271,73,7682.680486679077,8927.897735834122
leakyrelu,128,hgt,0.0,64,0.0023964946962619464,4,1,9,1e-05,0.6537037037037037,0.6264263295297879,0.6657527089118958,79,8378.545382261276,8941.021894693375
elu,256,han,0.3,32,0.00038615356178501356,3,1,9,0.0,0.13518518518518519,0.5,0.6983931064605713,80,8580.133447885513,9012.980058431625
tanh,16,han,0.0,16,1.859400638848882e-05,5,2,9,1e-05,0.13518518518518519,0.5,33.789249420166016,77,8160.686973333359,9320.387102365494
tanh,64,han,0.0,16,0.00011616157350758661,10,4,10,0.0,0.8648148148148148,0.5,208.09913635253906,85,8929.28271985054,9524.849208116531
sigmoid,32,han,0.0,16,1.859846824639434e-05,10,2,9,1e-05,0.45740740740740743,0.5533865243026018,12.579183578491211,84,8885.811247348785,9656.237380981445
tanh,128,han,0.4,16,1.578968062630379e-05,10,2,6,0.0,0.13518518518518519,0.5,0.6939365863800049,88,9321.763643980026,9833.009940624237
leakyrelu,16,han,0.2,128,0.0001181740594076116,9,8,3,0.0001,0.45740740740740743,0.5533865243026018,1.364490568637848,86,8942.371906995773,9842.864062309265
sigmoid,16,hgt,0.0,64,1.1713547711351172e-05,4,4,8,0.0001,0.6537037037037037,0.6264263295297879,1.2369340062141418,81,8710.626248598099,9907.845011234283
leakyrelu,16,han,0.4,16,2.293877939058442e-05,3,1,8,1e-05,0.8648148148148148,0.5,1.3873813152313232,83,8792.889323949814,9919.576915740967
relu,16,hgt,0.0,16,1.3712153730123214e-05,6,4,10,0.0001,0.6537037037037037,0.6264263295297879,1.2447598576545715,82,8719.9112033844,10021.277119398117
relu,16,han,0.0,16,1.8696363322816126e-05,10,2,6,5e-05,0.8648148148148148,0.5,18.51931095123291,87,9014.416911125183,10032.14760017395
sigmoid,256,han,0.3,16,2.3948893355473305e-05,1,4,9,1e-05,0.8648148148148148,0.5,0.7011155486106873,90,9657.542641162872,10154.810225486755
relu,32,han,0.0,16,1.5261073579465405e-05,9,4,10,0.0,0.13518518518518519,0.5,516.4104614257812,89,9525.962898492813,10308.817322015762
sigmoid,128,hgt,0.1,64,4.062422501297972e-05,5,2,6,0.0001,0.3648148148148148,0.5865331025783931,0.6648245453834534,95,10022.787916183472,10557.49147772789
elu,64,hgt,0.1,16,0.0001313468668187781,7,1,9,0.0001,0.6537037037037037,0.6264263295297879,0.6613278985023499,94,9920.743521928787,10564.050897359848
tanh,256,han,0.4,32,2.2333308086417442e-05,6,2,10,5e-05,0.45740740740740743,0.5533865243026018,0.6905834674835205,98,10310.18198633194,10790.937373638153
tanh,16,hgt,0.1,16,0.0002724685688690826,3,2,1,0.0001,0.6240740740740741,0.6208530110586372,1.262416422367096,91,9834.347803592682,10803.529338598251
tanh,16,hgt,0.2,32,0.00020479074732417235,5,2,3,0.0001,0.6537037037037037,0.6264263295297879,1.234775424003601,92,9844.053168535233,10907.727566957474
elu,16,hgt,0.1,32,7.581406910029127e-05,7,2,3,0.0001,0.6537037037037037,0.6264263295297879,1.2337793111801147,96,10033.59568977356,11032.283335447311
tanh,16,han,0.5,16,1.3353417319212723e-05,7,2,10,5e-05,0.8648148148148148,0.5,1.3878604173660278,93,9909.104986190796,11093.538046360016
tanh,64,han,0.3,16,1.362468312466814e-05,9,2,10,0.0,0.8648148148148148,0.5,0.6951678991317749,99,10558.629622459412,11175.068552017212
