,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
78,elu,16,han,0.3,16,1.9842221930826947e-05,10,4,10,0.0,0.8648148148148148,0.5,1.3946532607078552,75,7324.986748218536,8492.735516548157
79,sigmoid,16,han,0.0,16,1.7054719215761806e-05,7,2,8,0.0,0.1351851851851851,0.5,412.23046875,77,7469.393443107605,8529.614627122879
80,tanh,16,han,0.2,32,2.2037743546813783e-05,10,1,10,0.0,0.4574074074074074,0.5533865243026018,1.378255844116211,78,7497.1373898983,8640.8627576828
81,tanh,64,han,0.4,16,4.1359526036822176e-05,2,2,9,0.0,0.8648148148148148,0.5,0.6931783556938171,83,8148.915528535843,8759.485404729843
82,elu,32,hgt,0.0,64,0.0037890523123753,3,1,9,0.0,0.6537037037037037,0.6264263295297879,0.6699455380439758,82,8010.869239807129,8787.054391384125
83,relu,256,hgt,0.5,16,0.0002129655817605,8,8,2,0.0,0.6240740740740741,0.6208530110586372,0.6637566089630127,86,8493.944305419922,8916.68756198883
84,relu,16,hgt,0.0,128,0.0074531851567325,3,1,8,0.0,0.8648148148148148,0.5,1.5804807543754578,81,7906.957085847855,9039.760256767271
85,sigmoid,64,han,0.0,16,1.0976165423214274e-05,9,4,10,0.0,0.4574074074074074,0.5533865243026018,75.85134887695312,88,8642.145682573318,9244.976685285568
86,relu,64,han,0.4,32,0.0001354657058924,1,4,10,0.0001,0.8648148148148148,0.5,0.6970661878585815,90,8788.3650867939,9421.63733291626
87,leakyrelu,64,hgt,0.0,64,0.0083813781330555,2,1,8,1e-05,0.8648148148148148,0.5,0.8816008567810059,91,8917.97582411766,9527.26521062851
88,tanh,16,hgt,0.2,16,2.634019692485026e-05,10,1,10,0.0,0.3018518518518518,0.5674664867560353,1.355808138847351,85,8266.687830924988,9531.319908618929
89,relu,32,han,0.0,16,1.5261073579465405e-05,9,4,10,0.0,0.1351851851851851,0.5,258.7520751953125,89,8760.858614444733,9537.893659114838
90,tanh,16,hgt,0.0,16,2.009441445270829e-05,8,8,10,0.0001,0.6537037037037037,0.6264263295297879,1.2453016638755798,84,8248.355838060379,9542.489617347715
91,leakyrelu,16,han,0.0,16,2.830801584101892e-05,10,4,7,0.0,0.4574074074074074,0.5533865243026018,1.43179190158844,87,8530.859910726547,9586.853338479996
92,tanh,32,han,0.0,16,0.000275942058682,10,2,9,0.0,0.4574074074074074,0.5533865243026018,0.6878328919410706,93,9246.280020713806,10029.546592473984
93,leakyrelu,64,hgt,0.0,64,4.000718773944927e-05,1,1,5,1e-05,0.6537037037037037,0.6264263295297879,0.6661205887794495,96,9532.610885858536,10097.556077957152
94,leakyrelu,128,han,0.4,16,0.0002940047146317,1,2,10,0.0,0.8648148148148148,0.5,0.6965468525886536,99,9588.219533920288,10122.835456609726
95,elu,32,hgt,0.0,64,0.0038330019871661,2,1,6,5e-05,0.6537037037037037,0.6264263295297879,0.6678352952003479,95,9528.368810892103,10276.82228899002
96,tanh,16,hgt,0.0,16,0.0049841671012884,4,1,9,1e-05,0.4574074074074074,0.5533865243026018,1.3590799570083618,92,9041.12477183342,10278.408791303636
97,leakyrelu,32,han,0.4,32,0.0001580394704106,2,8,10,0.0,0.8648148148148148,0.5,0.7014791369438171,98,9543.769640684128,10327.444835662842
98,relu,16,hgt,0.0,128,0.002860469342637,5,1,9,5e-05,0.6537037037037037,0.6264263295297879,1.3126285076141355,94,9422.740139484406,10640.818478107452
99,tanh,16,han,0.0,16,8.981062610619019e-05,10,4,10,0.0,0.4574074074074074,0.5533865243026018,5.079606771469116,97,9539.336173534391,10702.92949271202
100,relu,64,hgt,0.0,128,0.0022734879593278,2,1,3,1e-05,0.6537037037037037,0.6264263295297879,0.6636592745780945,105,10328.568768024445,10870.656357049942
101,relu,32,han,0.4,32,0.0001065397959791,2,8,10,0.0,0.8648148148148148,0.5,0.6968480944633484,101,10098.902640581133,10881.692702054976
102,leakyrelu,32,hgt,0.0,128,0.0041457727211229,1,1,5,5e-05,0.6537037037037037,0.6264263295297879,0.6649330854415894,103,10278.098426103592,11023.960458040236
103,tanh,32,han,0.3,16,1.1800982314687004e-05,10,4,10,0.0,0.8648148148148148,0.5,0.6927893161773682,104,10279.831439971924,11072.890038013458
104,sigmoid,16,han,0.0,128,1.4710047212263716e-05,10,1,4,0.0,0.4574074074074074,0.5533865243026018,1.3569692969322205,102,10124.16755437851,11091.233736038208
105,sigmoid,16,hgt,0.0,128,0.0030964299133109,3,1,6,0.0,0.6537037037037037,0.6264263295297879,1.3364930152893066,100,10030.885271549225,11092.553702354431
106,leakyrelu,64,han,0.3,16,5.587335247198664e-05,6,2,10,0.0,0.8648148148148148,0.5,0.6944092512130737,106,10641.9187002182,11249.575072050096
107,tanh,64,han,0.0,64,1.9671258085675683e-05,8,2,10,0.0,0.8648148148148148,0.5,2659.9482421875,107,10704.344036340714,11306.61328625679
108,leakyrelu,64,hgt,0.0,128,0.003929827085198,3,1,3,5e-05,0.6537037037037037,0.6264263295297879,0.6655283570289612,109,10882.92943906784,11487.287396669388
109,relu,32,hgt,0.0,128,0.0071120939195164,2,2,2,0.0,0.6537037037037037,0.6264263295297879,0.6652258634567261,108,10872.087361574171,11541.794894218445
110,tanh,64,han,0.1,128,1.629791798988428e-05,7,2,6,1e-05,0.4574074074074074,0.5533865243026018,0.6877750158309937,115,11307.87086558342,11874.593078374864
111,tanh,16,han,0.3,32,2.215281741093129e-05,10,2,3,0.0,0.4574074074074074,0.5533865243026018,1.359756350517273,112,11092.55290389061,11979.156593561172
112,tanh,32,han,0.0,64,1.2955572490266063e-05,10,2,7,1e-05,0.8648148148148148,0.5,6.908934593200684,114,11250.939463853836,11980.528493881226
113,relu,64,han,0.0,256,2.9408578928991643e-05,8,1,10,0.0,0.4574074074074074,0.5533865243026018,40.927982330322266,116,11488.658368349075,12089.850888252258
114,tanh,64,han,0.0,128,1.650361593399923e-05,8,4,7,1e-05,0.1351851851851851,0.5,116.55088806152344,117,11543.05610346794,12141.380791902542
115,leakyrelu,16,han,0.3,32,1.114667530410897e-05,1,8,9,5e-05,0.8648148148148148,0.5,1.399940013885498,111,11074.125906944277,12237.127202272415
116,tanh,16,hgt,0.0,32,1.3066557141578698e-05,10,2,10,0.0,0.6537037037037037,0.6264263295297879,1.2261093258857727,113,11094.36249756813,12317.24190211296
117,elu,16,han,0.5,16,0.0001010936685649,5,2,10,0.0,0.8648148148148148,0.5,1.3910666704177856,110,11025.331332445145,12376.384309530258
118,tanh,64,han,0.0,256,0.0003343348642125,8,2,4,0.0,0.4574074074074074,0.5533865243026018,0.6871129274368286,118,11875.873792886734,12405.402064323423
119,tanh,128,han,0.0,64,1.3412018889054208e-05,3,8,8,0.0,0.5425925925925926,0.446613475697398,39.302242279052734,121,12091.21106481552,12593.795386314392
120,tanh,128,han,0.0,128,1.2227795536840129e-05,8,1,10,1e-05,0.8648148148148148,0.5,145.82098388671875,122,12142.84419465065,12679.74264717102
121,tanh,128,han,0.0,64,0.0204206117526605,7,2,1,0.0,0.4574074074074074,0.5533865243026018,0.6872456669807434,123,12238.322583436966,12708.970860242844
